ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-002128","H2722","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","PLMESO",NA,FALSE,"HLX"
"ACH-002129","H2731","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Sarcomatoid Type","PLSMESO",NA,FALSE,"HLX"
"ACH-002130","H2795","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
"ACH-002131","H2803","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","PLMESO",NA,FALSE,"HLX"
"ACH-002132","H2804","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","PLMESO",NA,FALSE,"HLX"
"ACH-002133","H2810","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
"ACH-002134","H2818","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO",NA,FALSE,"HLX"
"ACH-002135","H2869","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","PLBMESO",NA,FALSE,"HLX"
"ACH-002136","H290","Pleura","Pleural Mesothelioma","Pleural Mesothelioma","PLMESO",NA,FALSE,"HLX"
"ACH-002138","H513","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","LUAS",NA,FALSE,"HLX"
"ACH-002139","HA7-RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002140","Hey","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC",-0.00974126925698649,FALSE,"HLX"
"ACH-002141","HSC-39","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Signet Ring Cell Carcinoma of the Stomach","SSRCC",0.021123969143963,FALSE,"HLX"
"ACH-002142","HuO-3N1","Bone","Osteosarcoma","Osteosarcoma","OS",NA,FALSE,"HLX"
"ACH-002143","IST-MEL1","Skin","Melanoma","Melanoma","MEL",-0.0985129868279092,FALSE,"HLX"
"ACH-002144","IST-SL1","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002145","IST-SL2","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002146","JHOS-3","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","SOC",NA,FALSE,"HLX"
"ACH-002147","K2","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002148","K5","Thyroid","Well-Differentiated Thyroid Cancer","Papillary Thyroid Cancer","THPA",NA,FALSE,"HLX"
"ACH-002149","KGN","Ovary/Fallopian Tube","Sex Cord Stromal Tumor","Granulosa Cell Tumor","GRCT",NA,FALSE,"HLX"
"ACH-002150","LB1047-RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",-0.0782057565110112,FALSE,"HLX"
"ACH-002151","LB2241-RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002152","LB2518-MEL","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002153","LB373-MEL-D","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002154","LB647-SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002155","LB996-RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002156","LC-1-sq","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC",-0.0295800338719674,FALSE,"HLX"
"ACH-002157","LC-2-ad","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD",NA,FALSE,"HLX"
"ACH-002158","LU-99A","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","GCLC",NA,FALSE,"HLX"
"ACH-002159","M14","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002160","MC-IXC","Bone","Ewing Sarcoma","Ewing Sarcoma","ES",0.0588302536952882,FALSE,"HLX"
"ACH-002161","MKN28","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD",-0.0541005983628436,FALSE,"HLX"
"ACH-002162","MMAC-SF","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002163","MRK-nu-1","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC",NA,FALSE,"HLX"
"ACH-002164","MZ1-PC","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"HLX"
"ACH-002165","MZ2-MEL","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002166","MZ7-mel","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"HLX"
"ACH-002167","NCC010","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002168","NCC021","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC",NA,FALSE,"HLX"
"ACH-002169","NCI-H1304","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
"ACH-002170","NCI-H1688","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC",NA,FALSE,"HLX"
