ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-003180","NRH-UPS2","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","MFH",-0.681145900480369,FALSE,"HMGCR"
"ACH-003181","NRH-LMS1","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003183","NRH-MFS3","Soft Tissue","Myxofibrosarcoma","Myxofibrosarcoma","MFS",NA,FALSE,"HMGCR"
"ACH-003184","NRH-LMS2","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003191","NRH-GCT2","Bone","Giant Cell Tumor of Bone","Giant Cell Tumor of Bone","GCTB",NA,FALSE,"HMGCR"
"ACH-003265","CCLF_RARE_0010_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003266","CCLF_RARE_0021_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003267","CCLF_RARE_0009_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003268","CCLF_RARE_0022_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003269","CCLF_RARE_0019_T","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","LMS",NA,FALSE,"HMGCR"
"ACH-003273","CHRF-288-11","Myeloid","Acute Myeloid Leukemia","Acute Megakaryoblastic Leukemia","AMKL",NA,FALSE,"HMGCR"
"ACH-003308","THLE-3","","Non-Cancerous","Transformed cell line","",NA,FALSE,"HMGCR"
"ACH-003426","CCLF_NEURO_0046_T","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA",NA,FALSE,"HMGCR"
"ACH-003429","CCLF_PANC_0074_T","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",NA,FALSE,"HMGCR"
