ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,gene_effect,is_medulloblastoma,gene
"ACH-000462","NALM-1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1",NA,FALSE,"SLC2A1"
"ACH-000463","NCI-H460","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC",0.0660789473112311,FALSE,"SLC2A1"
"ACH-000464","CAS-1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",-0.22822236147725,FALSE,"SLC2A1"
"ACH-000465","SK-MEL-1","Skin","Melanoma","Melanoma","MEL",NA,FALSE,"SLC2A1"
"ACH-000466","SNU-216","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD",-0.472136559073925,FALSE,"SLC2A1"
"ACH-000467","HCC-56","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD",-0.480250182694919,FALSE,"SLC2A1"
"ACH-000468","PK-45H","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD",-0.526688160398503,FALSE,"SLC2A1"
"ACH-000469","YH-13","CNS/Brain","Diffuse Glioma","Glioblastoma","GB",0.0710832718857092,FALSE,"SLC2A1"
"ACH-000470","SW1463","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ",-0.0629032749264499,FALSE,"SLC2A1"
"ACH-000471","Li-7","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-1.15080058804099,FALSE,"SLC2A1"
"ACH-000472","HSC-2","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC",-0.374560019953198,FALSE,"SLC2A1"
"ACH-000473","RT-112","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA",0.0187749782794509,FALSE,"SLC2A1"
"ACH-000475","huH-1","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-0.0504931597503619,FALSE,"SLC2A1"
"ACH-000476","JHH-4","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC",-0.300187497030557,FALSE,"SLC2A1"
